p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
5119,26204161,26204159,2,2,44,146
5147,26491609,26491603,6,4,60,147
5153,26553409,26553407,2,2,44,147
5167,26697889,26697877,12,4,60,147
5171,26739241,26739227,14,2,44,147
5179,26822041,26822027,14,2,44,147
5189,26925721,26925707,14,2,44,147
5197,27008809,27008803,6,4,60,147
5209,27133681,27133679,2,2,44,147
5227,27321529,27321517,12,4,60,147
5231,27363361,27363341,20,2,44,147
5233,27384289,27384277,12,4,60,147
5237,27426169,27426137,32,2,44,147
5261,27678121,27678103,18,4,60,147
5273,27804529,27804509,20,2,44,147
5279,27867841,27867839,2,2,44,147
5281,27888961,27888947,14,2,44,147
5297,28058209,28058189,20,2,44,148
5303,28121809,28121803,6,4,60,148
5309,28185481,28185467,14,2,44,148
5323,28334329,28334311,18,6,60,148
5333,28440889,28440887,2,2,44,148
5347,28590409,28590391,18,6,60,148
5351,28633201,28633147,54,4,60,148
5381,28955161,28955141,20,2,44,148
5387,29019769,29019761,8,2,44,148
5393,29084449,29084431,18,6,60,148
5399,29149201,29149199,2,2,44,148
5407,29235649,29235637,12,4,60,148
5413,29300569,29300563,6,4,60,148
5417,29343889,29343871,18,6,60,148
5419,29365561,29365547,14,2,44,148
5431,29495761,29495717,44,2,44,148
5437,29560969,29560939,30,4,60,148
5441,29604481,29604469,12,4,60,148
5443,29626249,29626243,6,4,60,148
5449,29691601,29691593,8,6,60,149
5471,29931841,29931817,24,4,60,149
5477,29997529,29997521,8,2,44,149
5479,30019441,30019387,54,4,60,149
5483,30063289,30063287,2,2,44,149
5501,30261001,30260999,2,2,44,149
5503,30283009,30282971,38,2,44,149
5507,30327049,30327043,6,4,60,149
5519,30459361,30459353,8,6,60,149
5521,30481441,30481433,8,6,60,149
5527,30547729,30547723,6,4,60,149
5531,30591961,30591931,30,6,60,149
5557,30880249,30880219,30,4,60,149
5563,30946969,30946961,8,2,44,149
5569,31013761,31013747,14,2,44,149
5573,31058329,31058327,2,2,44,149
5581,31147561,31147559,2,2,44,149
